"","X","Name","first_apperance","last_apperance","total_apperance","seasons_apperance","time_of_monitoring","Prominence","Sentiment","Season","Episode","How","episode_of_death","Allegiances","Gender","Nobility","Dead"
"63",64,"jojen reed",22,40,10,2,19,1.05263157894737,-0.0148852006351165,"season 4","the children","throat slit by meera reed with a dagger in a mercy killing, after being stabbed in the stomach by a wight.",40,"Stark","1","1",1
"64",65,"jon snow",1,67,54,7,67,5.64179104477612,0.0090318598097709,"season 5","mother's mercy","stabbed in the chest by alliser thorne, othell yarwyck, bowen marsh and olly. he is later resurrected in the episode home by melisandre.",50,"Night's Watch","1","1",0
"65",66,"jonos bracken",10,10,1,1,1,1,0.0121154338776028,NA,NA,NA,NA,"Other","1","1",0
"66",67,"jorah mormont",1,67,44,7,67,4.59701492537313,0.0552699920913086,"season 8","the long night ","stabbed multiple times by wights while protecting daenerys.",NA,"Targaryen","1","1",0
"67",68,"jory cassel",2,5,4,1,4,1,0.0630924032326017,"season 1","the wolf and the lion","stabbed in the eye by jaime lannister with a dagger.",5,"Stark","1","1",1
"68",69,"kevan lannister",8,41,4,2,34,0.235294117647059,-0.0408531430433169,"season 6","the winds of winter","incinerated in a wildfire explosion, orchestrated by cersei.",60,"Lannister","1","1",1
"70",71,"kraznys mo nakloz",21,21,1,1,1,1,-0.272916540790615,"season 3","and now his watch is ended","burned alive by drogon, on daenerys orders.",24,"None","1","1",1
"72",73,"lancel lannister",3,41,5,2,39,0.256410256410256,0.539452385791219,"season 6","the winds of winter","incinerated in a wildfire explosion, orchestrated by cersei.",60,"Lannister","1","1",1
"74",75,"lem",57,58,2,1,2,1,0.222113493640755,"season 6","no one","hanged by sandor clegane, on dondarrion's orders.",58,"None","1","0",1
"75",76,"leo lefford",10,10,1,1,1,1,-0.132582521472478,NA,NA,NA,NA,"Lannister","1","1",0
"78",79,"lommy",12,12,1,1,1,1,-0.264779189099136,NA,NA,NA,NA,"Night's Watch","1","0",0
"80",81,"loras tyrell",5,5,1,1,1,1,-0.0304883328209516,"season 6","the winds of winter","incinerated in a wildfire explosion, orchestrated by cersei.",60,"Other","1","1",1
"82",83,"lord of bones",18,48,2,2,31,0.129032258064516,-0.114957875567255,"season 5","hardhome","beaten to death by tormund with his own staff.",48,"Other","1","1",1
"83",84,"lothar frey",26,57,4,2,32,0.25,0.107698471209134,"season 6","the winds of winter","killed off-screen by arya stark; body parts later baked into a pie and fed to walder frey.",60,"None","1","1",1
"84",85,"luwin",1,20,8,2,20,0.8,0.118917688788732,NA,NA,NA,NA,"Stark","1","0",0
"85",86,"lysa tully",35,37,2,1,3,0.666666666666667,0.00772683151737242,NA,NA,NA,NA,"Other","0","1",0
"87",88,"mace tyrell",42,53,2,2,12,0.333333333333333,0.245076518663049,"season 6","the winds of winter","incinerated in a wildfire explosion, orchestrated by cersei.",60,"Other","1","1",1
"88",89,"mance rayder",21,41,5,3,21,0.714285714285714,-0.024322502975307,"season 5","the wars to come","shot in the heart with an arrow by jon snow in a mercy killing, after melisandre attempted to burn him alive.",41,"Other","1","1",1
"89",90,"marei",23,67,2,2,45,0.0888888888888889,0.857753063974315,NA,NA,NA,NA,"None","0","0",0
"90",91,"margaery tyrell",13,60,24,5,48,2.5,0.220676343039642,"season 6","the winds of winter","incinerated in a wildfire explosion, orchestrated by cersei.",60,"Other","0","1",1
"91",92,"marillion",4,10,3,1,7,0.428571428571429,0.428122344064333,NA,NA,NA,NA,"Other","1","0",0
"92",93,"martyn rivers",23,25,2,1,3,0.666666666666667,0.0397588805018525,"season 3","kissed by fire","stabbed by rickard karstark with a dagger.",25,"None","1","1",1
"93",94,"marwyn",61,65,4,1,5,0.8,0.0698204143392513,NA,NA,NA,NA,"None","1","0",0
"94",95,"masha heddle",4,4,1,1,1,1,-0.192386729447751,NA,NA,NA,NA,"Other","0","0",0
"95",96,"matthos seaworth",11,19,3,1,9,0.333333333333333,0.186246560241772,"season 2","blackwater","killed in a wildfire explosion caused by bronn, orchestrated by tyrion.",19,"Baratheon","1","1",1
"96",97,"meera reed",22,64,15,4,43,1.3953488372093,0.04575003357642,NA,NA,NA,NA,"Stark","0","1",0
"97",98,"melisandre",11,67,25,6,57,2.63157894736842,-0.0307500754875283,"season 8","the long night ","died of old age after the battle of winterfell, when she removed her red necklace.",NA,"Baratheon","0","0",0
"98",99,"mero",28,28,1,1,1,1,-0.0776606187122658,"season 3","second sons","decapitated by daario naharis with a arakh.",28,"None","1","0",1
"100",101,"meryn trant",8,36,4,3,29,0.413793103448276,-0.141154606554231,"season 5","mother's mercy","throat sliced open by arya stark with a dagger after she stabbed him multiple times, as revenge for syrio forel's death.",50,"Lannister","1","1",1
"101",102,"mirri maz duur",9,10,2,1,2,1,-0.0316051822531042,"season 1","fire and blood","burned alive by daenerys targaryen at drogo's funeral.",10,"None","0","0",1
"102",103,"missandei",21,67,27,5,47,2.87234042553191,0.205031011757112,"season 8","the last of the starks","beheaded by the mountain on cersei's orders.",NA,"Targaryen","0","0",0
"103",104,"mord",5,6,2,1,2,1,-0.138974109565915,NA,NA,NA,NA,"Other","1","0",0
"104",105,"mordane",6,6,1,1,1,1,0.268518030773332,NA,NA,NA,NA,"Stark","0","0",0
"105",106,"mossador",34,42,3,2,9,0.666666666666667,0.134429182574235,"season 5","the house of black and white","beheaded by daario naharis with a arakh on daenerys orders, for killing a defenceless prisoner.",42,"Targaryen","1","0",1
"106",107,"mycah",2,2,1,1,1,1,0.0866025403784439,"season 1","the kingsroad","slashed by sandor clegane with a sword, under joffrey's orders.",2,"Stark","1","0",1
"107",108,"myranda royce",27,50,6,3,24,0.75,0.149634651547568,"season 5","mother's mercy","thrown off a rampart by theon greyjoy after attempting to kill sansa.",50,"Other","0","1",1
"108",109,"myrcella baratheon",2,2,1,1,1,1,-0.433012701892219,NA,NA,NA,NA,"Lannister","0","1",0
"110",111,"nymeria sand",44,62,5,3,19,0.789473684210526,-0.0465592322240865,"season 7","stormborn","strangled with her own whip by euron greyjoy, then hanged from his ship's prow.",62,"Other","0","1",1
"111",112,"obara sand",44,62,6,3,19,0.947368421052632,0.0332770036455777,"season 7","stormborn","impaled through the stomach by euron greyjoy with her own spear.",62,"Other","0","1",1
"112",113,"oberyn martell",31,38,7,1,8,0.875,-0.0144222156390155,"season 4","the mountain and the viper","skull crushed by ser gregor clegane in a trial by combat under tywin lannister.",38,"Other","1","1",1
"113",114,"olyvar frey",25,46,7,3,22,0.954545454545455,0.200046004371893,NA,NA,NA,NA,"None","1","1",0
"114",115,"orell",22,29,6,1,8,0.75,0.0425911463636619,"season 3","the rains of castamere","stabbed in the chest by jon snow with longclaw. briefly survived by warging into his eagle, which presumably did not last long.",29,"Other","1","0",1
"115",116,"osha",6,54,14,4,49,1.14285714285714,0.00459968977204977,"season 6","book of the stranger","stabbed in the neck by ramsay bolton with a dagger, after she attempted to kill him.",54,"Stark","0","0",1
"116",117,"othell yarwyck",7,8,2,1,2,1,-0.154280209908108,"season 6","oathbreaker","hanged by jon snow for treason.",53,"Night's Watch","1","0",1
"117",119,"petyr baelish",3,67,35,7,65,3.76923076923077,0.11728879096894,"season 7","the dragon and the wolf ","throat sliced open by arya stark with the catspaw dagger on sansa's orders.",67,"None","1","0",1
"118",120,"petyr frey",38,61,3,3,24,0.375,0.12929982621162,NA,NA,NA,NA,"None","1","1",0
"119",121,"podrick payne",12,67,23,6,56,2.46428571428571,0.0683162881605719,NA,NA,NA,NA,"Lannister","1","1",0
"120",122,"polliver",14,31,2,2,18,0.222222222222222,0.0629796300172508,"season 4","two swords","stabbed in the throat by arya stark with needle.",31,"None","1","0",1
"121",123,"prendahl na ghezn",28,28,1,1,1,1,0.0183766922288764,NA,NA,NA,NA,"None","1","0",0
"122",124,"pyat pree",17,20,2,1,4,0.5,0.227930796877882,"season 2","valar morghulis","burned by drogon, rhaegal and viserion.",20,"None","1","1",1
"123",125,"pycelle",11,60,15,5,50,1.5,0.151864861922729,NA,NA,NA,NA,"Lannister","1","0",0
"124",126,"pypar",7,7,1,1,1,1,-0.0546824180342185,"season 4","the watchers on the wall","shot in the neck with an arrow by ygritte, during the battle of castle black.",39,"Night's Watch","1","0",1
"125",127,"qhorin halfhand",15,20,4,1,6,0.666666666666667,0.0150086990507344,"season 2","valar morghulis","stabbed in the chest by jon snow with his greatsword longclaw. qhorin told jon to do this so that the wildlings will trust him.",20,"Night's Watch","1","0",1
"126",128,"qotho",9,9,1,1,1,1,-0.21457816842014,"season 1","baelor","slashed across the jaw by jorah mormont with his sword after threatening daenerys.",9,"None","1","0",1
"127",129,"quaithe",15,15,1,1,1,1,0.114989935147321,NA,NA,NA,NA,"None","0","1",0
"128",130,"quent",16,16,1,1,1,1,1,NA,NA,NA,NA,"Stark","1","0",0
"129",131,"qyburn",21,67,16,5,47,1.70212765957447,0.197490039479668,"season 8","the bells ","head split open when the mountain threw him down the red keep stairs.",NA,"Lannister","1","0",0
"130",132,"rakharo",3,11,5,2,9,1.11111111111111,-0.085155956205396,"season 2","the night lands","decapitated by a rival dothraki tribe.",12,"Targaryen","1","0",1
"131",133,"ralf the limper",38,38,1,1,1,1,-0.0501826308277283,"season 4","the mountain and the viper","stabbed in the head with an axe by adrack humble.",38,"Other","1","0",1
"132",134,"randyll tarly",56,65,4,2,10,0.8,-0.0704203099195486,"season 7","eastwatch ","executed by dragon fire, at daenerys' orders, for refusing to bend the knee.",65,"Other","1","1",1
"133",135,"rast",3,35,6,3,33,0.545454545454545,-0.0279829037227537,"season 4","first of his name","mauled by ghost.",35,"Night's Watch","1","0",1
"134",136,"renly baratheon",3,7,5,1,5,1,0.011497729432731,"season 2","ghost of harrenhal","stabbed in the back of the chest by a shadow demon, sent by melisandre and stannis.",15,"Baratheon","1","1",1
"136",138,"rhaegar frey",67,67,1,1,1,1,-0.256284642891099,NA,NA,NA,NA,"None","1","1",0
"137",139,"rickard karstark",10,25,6,3,16,1.125,-0.329778902415257,"season 3","kissed by fire","beheaded by rob stark with a sword for treason.",25,"Stark","1","1",1
"138",140,"rickard ryswell",17,55,2,2,39,0.102564102564103,-0.251375654828754,NA,NA,NA,NA,"Stark","1","1",0
"139",141,"rickon stark",10,10,1,1,1,1,0.0707106781186548,"season 6","battle of the bastards","shot through the back with an arrow by ramsay bolton, during the battle of the bastards.",59,"Stark","1","1",1
"141",143,"robb stark",1,29,22,3,29,2.27586206896552,0.0267099769713518,"season 3","the rains of castamere","stabbed in the chest by roose bolton at the red wedding. his death was orchestrated by tywin lannister, who agreed to name roose bolton warden of the north in return.",29,"Stark","1","1",1
"142",144,"robert baratheon",1,7,7,1,7,1,-0.0428022583580314,"season 1","you win or you die","mortally wounded by a boar after drinking too much wine purposely given to him by lancel lannister, orchestrated by cersei.",7,"Baratheon","1","1",1
"144",146,"robett glover",62,62,1,1,1,1,-0.0944911182523068,NA,NA,NA,NA,"Stark","1","1",0
"145",147,"robin ryger",35,67,4,2,33,0.242424242424242,-0.066418632614764,NA,NA,NA,NA,"Other","1","1",0
"146",148,"rodrik cassel",5,9,2,1,5,0.4,-0.15,"season 2","the old gods and the new","beheaded by theon greyjoy with a sword, at dagmers orders.",16,"Stark","1","1",1
"147",149,"rodrik ryswell",15,16,2,1,2,1,-0.15390851782138,NA,NA,NA,NA,"None","1","1",0
"148",150,"roose bolton",14,30,9,2,17,1.05882352941176,0.116405877270149,"season 6","home","stabbed in the abdomen by his son ramsay bolton with a dagger, so that ramsay would become the new warden of the north.",52,"Stark","1","1",1
"149",151,"roose ryswell",16,52,11,5,37,1.48648648648649,0.072123623313449,NA,NA,NA,NA,"None","1","1",0
"150",152,"rorge",12,37,3,2,26,0.230769230769231,-0.196589893970148,"season 4","mockingbird","stabbed in the chest by arya stark with needle.",37,"None","1","0",1
"151",153,"roslin frey",29,29,1,1,1,1,-0.25,NA,NA,NA,NA,"None","0","1",0
"152",154,"ryger rivers",9,9,1,1,1,1,0.707106781186547,NA,NA,NA,NA,"None","1","0",0
"153",155,"salladhor saan",21,21,1,1,1,1,-0.123235635252553,NA,NA,NA,NA,"Baratheon","1","1",0
"154",156,"sandor clegane",1,67,24,4,67,1.43283582089552,-0.091898330438293,"season 8","the bells ","sacrificed himself to kill the mountain by tackling him into a pit of fire.",NA,"None","1","1",0
"156",158,"sansa stark",1,67,53,7,67,5.53731343283582,0.0638482157515416,NA,NA,NA,NA,"Stark","0","1",0
"159",161,"shae",9,36,19,4,28,2.71428571428571,-0.0394674071788442,"season 4","the children","strangled to death by tyrion lannister with a chain for betraying him and helping tywin attempt to kill him.",40,"Lannister","0","0",1
"160",162,"shagga",8,8,1,1,1,1,0.098606797749979,NA,NA,NA,NA,"Lannister","1","0",0
"161",163,"shireen baratheon",25,49,8,3,25,0.96,0.0951923689888792,"season 5","the dance of dragons","burned alive by melisandre, on stannis's orders.",49,"Baratheon","0","1",1
"162",164,"stevron frey",9,9,1,1,1,1,-0.5,NA,NA,NA,NA,"Stark","1","1",0
"163",165,"styr",31,39,3,1,9,0.333333333333333,-0.074809680694983,"season 4","the watchers on the wall","head smashed open with a hammer by jon snow, during the battle of castle black.",39,"Other","1","1",1
"164",166,"syrio forel",3,8,3,1,6,0.5,-0.0432270846212522,"season 1","the pointy end","stabbed off-screen by meryn trant with his sword.",8,"Stark","1","0",1
"165",167,"theon greyjoy",1,67,40,7,67,4.17910447761194,-0.00390764215863221,"season 8","the long night ","stabbed in the abdomen by the night king, with the broken shaft of his own spear.",NA,"Other","1","1",0
"166",168,"thoros",22,66,10,3,45,0.666666666666667,-0.00688488431622064,"season 7","beyond the wall ","died from a combination of wounds sustained from the polar bear wight attack, and hypothermia.",66,"None","1","0",1
"167",169,"tickler",14,14,1,1,1,1,0.487831887738765,"season 2","ghost of harrenhal","neck snapped by jaqen h'ghar, on arya's orders.",15,"Lannister","1","0",1
"168",170,"timett",13,13,1,1,1,1,0,NA,NA,NA,NA,"Lannister","1","0",0
"169",171,"tobho mott",4,4,1,1,1,1,0.271272655776134,NA,NA,NA,NA,"None","1","0",0
"170",172,"tomard",7,7,1,1,1,1,0.565685424949238,NA,NA,NA,NA,"Stark","1","0",0
"171",173,"tormund",21,67,22,5,47,2.34042553191489,-0.00569970864238805,NA,NA,NA,NA,"Other","1","1",0
"172",174,"tycho nestoris",36,64,3,2,29,0.206896551724138,0.12572672380975,NA,NA,NA,NA,"None","1","0",0
"173",175,"tyene sand",44,63,6,2,20,0.6,0.119155877851786,NA,NA,NA,NA,"Other","0","1",0
"174",176,"tyrion lannister",1,67,60,7,67,6.26865671641791,0.0512574850065122,NA,NA,NA,NA,"Lannister","1","1",0
"175",177,"tywin lannister",7,40,25,4,34,2.94117647058824,0.0431343995363041,"season 4","the children","shot in the heart by tyrion lannister with joffrey's crossbow for trying to kill him and sleeping with shae.",40,"Lannister","1","1",1
"176",178,"vardis egen",5,5,1,1,1,1,0.100936238197033,"season 1","a golden crown","stabbed in the throat by bronn with his sword in a trial by combat under tyrion lannister.",6,"Other","1","0",1
"177",179,"varys",3,67,33,7,65,3.55384615384615,0.0956789256762468,"season 8","the bells ","burned alive by drogon on daenerys orders for plotting treason against her.",NA,"Targaryen","1","0",0
"179",181,"viserys targaryen",2,6,4,1,5,0.8,0.048107744930264,"season 1","a golden crown","crowned with molten gold by khal drogo, after threatening daenerys.",6,"Targaryen","1","1",1
"180",182,"waif",43,58,10,2,16,1.25,0.00810178826397867,"season 6","no one","stabbed in the face by arya stark with needle.",58,"None","0","0",1
"181",183,"walda rivers (daughter of aemon)",32,45,2,2,14,0.285714285714286,0.0555634918610404,"season 6","home","eaten alive by ramsay's hounds.",52,"None","0","1",1
"182",184,"walder frey",9,61,3,3,53,0.169811320754717,0.0309752423090009,"season 6","the winds of winter","throat sliced open by arya stark with a dagger, as revenge for what he had ordered to happen at the red wedding.",60,"None","1","1",1
"183",185,"walder rivers",29,61,4,3,33,0.363636363636364,0.0480155903305942,NA,NA,NA,NA,"None","1","1",0
"184",186,"waymar royce",1,1,1,1,1,1,-0.12814232144555,"season 1","winter is coming","slashed by a white walker with an ice blade.",1,"Night's Watch","1","1",1
"185",187,"will",1,1,1,1,1,1,0.0717572231520477,"season 1","winter is coming","beheaded by ned stark with his greatsword ice for deserting the nights watch.",1,"Night's Watch","1","0",1
"186",188,"willem lannister",25,25,1,1,1,1,0.25,"season 3","kissed by fire","stabbed by rickard karstark with a dagger.",25,"Lannister","1","1",1
"187",189,"xaro xhoan daxos",14,20,5,1,7,0.714285714285714,0.02716938857466,"season 2","valar morghulis","locked inside his vault by jorah mormont, on daenerys orders. either starved or suffocated off-screen.",20,"None","1","1",1
"188",190,"yezzan zo qaggaz",54,59,2,1,6,0.333333333333333,0.303596803062874,NA,NA,NA,NA,"None","1","1",0
"189",191,"ygritte",16,39,14,3,24,1.75,-0.0213559445181179,"season 4","the watchers on the wall","shot in the heart with an arrow by olly, during the battle of castle black.",39,"Other","0","0",1
"191",193,"yohn royce",61,65,3,1,5,0.6,0.0760456700406113,NA,NA,NA,NA,"Other","1","1",0
"192",194,"yoren",3,13,7,2,11,1.27272727272727,-0.0404702755893086,"season 2","what is dead may never die","stabbed in the back of the neck by amory loch with a sword.",13,"Night's Watch","1","0",1
